date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,10.3,6.7,14.2,,,32,2.3,11.1,1027.6,
2022-01-02,11.4,8.7,15.2,,,159,3.6,9.3,1029.3,
2022-01-03,9.4,6.7,14,,,148,3.3,18.5,1025.5,
2022-01-04,8.5,6.6,11,,,249,8.3,33.3,1017,
2022-01-05,7.3,4.5,9.7,,,275,9.3,24.1,1021,
2022-01-06,4.7,2.1,7.5,,,161,3.6,13,1024.6,
2022-01-07,6.9,4.2,11.7,,,34,8.6,22,1030.9,
2022-01-08,4.6,0.2,8.5,,,304,7.4,41,1032.4,
2022-01-09,9.7,6.2,12,,,236,8.3,31,1027.1,
2022-01-10,11.1,8.5,14.5,,,212,5.7,14.8,1025.3,
2022-01-11,9.2,6,14.6,,,47,3.5,16.7,1028.1,
2022-01-12,7.8,5,12,,,39,5.7,27,1030.6,
2022-01-13,4.6,0.6,10.2,,,64,4.5,16,1033,
2022-01-14,4.1,-0.4,9.7,,,38,2.6,14.8,1032.7,
2022-01-15,4,1,9.2,,,39,2.3,10,1029.7,
2022-01-16,5.4,2.7,9.7,,,17,2.6,9.3,1032.3,
2022-01-17,5.8,1.7,11.5,,,30,2.9,12,1034.2,
2022-01-18,5.4,1,10.7,,,0,3.1,9.3,1032.9,
2022-01-19,6,1.5,13,,,21,2.7,11.1,1033,
2022-01-20,6.9,2.7,12.7,,,71,3.7,14.8,1030.8,
2022-01-21,4.7,2.5,8.7,,,61,6.1,26,1029.6,
2022-01-22,2.6,-1.2,8,,,46,5.6,21,1030.9,
2022-01-23,4.5,-0.2,10.1,,,32,3,11.1,1027.3,
2022-01-24,4.5,0.2,10.7,,,50,2.7,11.1,1028.4,
2022-01-25,4.9,1.2,10.1,,,35,3.3,14,1031.7,
2022-01-26,6.2,2.5,10.7,,,48,4.5,16.7,1029.9,
2022-01-27,7.7,2.7,14.1,,,74,4.1,16.7,1030,
2022-01-28,8.5,3.1,14.2,,,75,5.6,26,1032.2,
2022-01-29,7.4,2.5,14.2,,,64,3.8,14.8,1034.2,
2022-01-30,7.5,2.5,12.6,,,79,3.6,11.1,1031.4,
2022-01-31,7.6,2.1,14.5,,,21,4.2,13,1031.7,
2022-02-01,8.4,2.7,13.7,,,60,6,28,1033.6,
2022-02-02,9.3,4.1,16,,,36,3.5,34,1029.4,
2022-02-03,8,4.6,12,,,225,4.1,16.7,1024.8,
2022-02-04,7.1,4.7,10,,,176,3.8,16.7,1025.5,
2022-02-05,8.2,5,14,,,63,5.1,19,1028,
2022-02-06,5.9,1,12.1,,,17,4.4,19,1032.3,
2022-02-07,8.3,2.7,15.5,,,55,3.9,18,1032.3,
2022-02-08,8.4,4,15,,,51,4.8,14.8,1030.5,
2022-02-09,9.3,4,16.5,,,16,2.6,13,1029.9,
2022-02-10,9.9,5.6,14.5,,,317,3.5,21,1028.7,
2022-02-11,10.8,7.5,15.7,,,185,4.2,18,1026.5,
2022-02-12,8.9,6,12,,,258,4.1,17,1024,
2022-02-13,6.6,4.1,9.1,,,203,6.2,45,1019.4,
2022-02-14,6.6,4.2,8.7,,,244,6,29.6,1023.7,
2022-02-15,5.7,1,9.7,,,240,6.2,24.1,1031,
2022-02-16,9.2,6.7,11.1,,,210,5.9,22.2,1031.2,
2022-02-17,10.6,7.1,15.2,,,243,5,22,1028,
2022-02-18,8,5.5,11.2,,,206,5.6,29.6,1022.3,
2022-02-19,7.2,2.7,12.6,,,18,13.1,31,1026.9,
2022-02-20,8.5,2.5,15.1,,,267,5.9,27,1031.4,
2022-02-21,10,4.2,17,,,67,4.5,18,1031.1,
2022-02-22,12.1,6.6,18.7,,,54,4.1,13,1030.3,
2022-02-23,12.2,7.7,17.2,,,34,3.5,13,1023.7,
2022-02-24,9.9,6.5,14.7,,,33,5.3,24,1022,
2022-02-25,8.9,5.2,14.6,,,43,7.4,27.8,1025,
2022-02-26,6.4,3.2,8.1,,,12,3.6,17,1022.2,
2022-02-27,8.9,3.7,14.5,,,343,4.5,19,1023.3,
2022-02-28,10.7,5.5,18.5,,,231,4.2,18,1026.6,
2022-03-01,10.6,8.2,14.7,,,249,5.4,29,1025.3,
2022-03-02,8.2,5.1,11,,,249,6.5,23,1025.6,
2022-03-03,7.3,5.7,9.5,,,349,8.9,56,1020.7,
2022-03-04,7,4,11.7,,,7,9.9,30,1024.3,
2022-03-05,6.4,2.7,13,,,50,4.5,17,1019.4,
2022-03-06,6.2,1.7,10.7,,,45,5.9,22.2,1017.9,
2022-03-07,6.2,1,11,,,234,6,20.4,1014.4,
2022-03-08,6.8,4.7,10.6,,,208,4.4,22.2,1017.1,
2022-03-09,7.9,5.7,12,,,172,4.7,24.1,1018.8,
2022-03-10,10,7.7,13.7,,,180,6.4,27.8,1016.5,
2022-03-11,8.5,4.5,11.2,,,239,11.1,35.2,1013.8,
2022-03-12,6.3,3,10.2,,,155,5.7,37,1014.9,
2022-03-13,7.1,4.2,11.2,,,224,6.9,32,1014.6,
2022-03-14,7,5.1,10.1,,,41,6.8,32,1011.2,
2022-03-15,11.5,6.2,17.5,,,45,4.8,21,1013.1,
2022-03-16,11.6,9.2,13.5,,,24,9.5,34,1018,
2022-03-17,9.2,6.7,12.1,,,49,6.6,27.8,1025.9,
2022-03-18,9.3,3.5,16,,,59,5.1,20.4,1026.2,
2022-03-19,11.6,7.1,16.5,,,91,3.2,20.4,1022.1,
2022-03-20,11.9,9.2,15.2,,,80,4.4,24.1,1017.7,
2022-03-21,10.8,8.2,14.2,,,108,3.5,21,1016.7,
2022-03-22,9.8,8,12.6,,,33,3.9,18,1017.6,
2022-03-23,10.8,8.2,14.9,,,75,5.9,27,1017.5,
2022-03-24,11.2,6.7,15.5,,,71,8.6,30,1018.1,
2022-03-25,12.3,10.5,16,,,75,5.3,22.2,1016.6,
2022-03-26,12.2,9.5,16,,,74,3.8,18.5,1017.5,
2022-03-27,,,,,,,,,,
2022-03-28,13.2,10,18.5,,,76,3.9,16,1017.9,
2022-03-29,12.2,9.7,18,,,100,4.3,22.2,1010.7,
