date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,13.8,8.1,18.4,0,,132,5.8,,1025.8,
2022-01-02,14.3,11.4,17.2,0,,116,3.2,,1028.9,
2022-01-03,12.4,11.3,14.1,0,,112,7.3,,1025.7,
2022-01-04,13.2,10.8,15.1,3,,279,17.2,,1019.9,
2022-01-05,12.5,10,16,4.9,,303,14.2,,1023.1,
2022-01-06,11.7,8.7,15.1,0,,349,11.4,,1023.4,
2022-01-07,12.2,9.3,16,0,,5,16.7,,1028.4,
2022-01-08,9.5,6.1,14.2,0,,2,9.1,,1031.5,
2022-01-09,11.4,6.8,16.8,0,,313,8.2,,1029,
2022-01-10,12.8,10.8,15.1,0.1,,337,13.3,,1025.3,
2022-01-11,12.4,9.5,18,0,,19,13.2,,1024.6,
2022-01-12,12,8.1,17.7,0,,37,12.4,,1026,
2022-01-13,10.2,6.3,16,0,,54,12.1,,1028.2,
2022-01-14,9.1,5.3,14,0,,43,11,,1028.9,
2022-01-15,10.1,5.9,15,0,,93,7.3,,1026.7,
2022-01-16,10.6,6.4,15.4,0,,117,6.2,,1029.1,
2022-01-17,10.1,6.2,16,0,,26,10.8,,1030.9,
2022-01-18,9,4.9,15,0,,27,10.1,,1029.6,
2022-01-19,8.7,4.1,15,0,,27,9.4,,1029.9,
2022-01-20,9.1,3.5,16,0,,26,11.4,,1027.2,
2022-01-21,9.5,5.6,16,0,,30,12.8,,1024.7,
2022-01-22,9.1,4.9,15.1,0,,37,11.8,,1025.2,
2022-01-23,9.5,5.4,15.5,0,,30,11.6,,1023.4,
2022-01-24,9.9,5.2,15,0,,24,14.4,,1024.7,
2022-01-25,10.2,5.9,15.1,0,,26,15.8,,1027.5,
2022-01-26,10.6,7.2,14.2,0,,28,16.2,,1025.5,
2022-01-27,12.2,7.8,18,0,,32,15.8,,1025.3,
2022-01-28,11.9,7.8,17.7,0,,36,15.4,,1027.3,
2022-01-29,12.2,7.6,18.6,0,,37,13.1,,1029,
2022-01-30,11.6,7.3,17.9,0,,16,10.1,,1028,
2022-01-31,11.3,6,19,0,,355,9.5,,1029,
2022-02-01,11.7,6.7,19,0,,28,10.9,,1028.7,
2022-02-02,11.3,6.5,19,0,,6,8,,1026.8,
2022-02-03,10,7.1,14,0,,333,5.1,,1024.2,
2022-02-04,11.4,7.6,16.5,0,,336,8.6,,1024.9,
2022-02-05,12.4,9.5,17.1,0,,342,16.2,,1025.7,
2022-02-06,12.2,7.9,18.7,0,,11,13.8,,1027.6,
2022-02-07,12.7,6.8,20,0,,24,13.4,,1027.8,
2022-02-08,13.2,8.4,20,0,,9,11,,1026.3,
2022-02-09,12.5,7.1,20,0,,27,7.6,,1027.8,
2022-02-10,11.5,6.6,16,0,,12,5.6,,1027.1,
2022-02-11,13.7,9.5,19.6,0,,313,5.8,,1025.6,
2022-02-12,12.4,9.4,16.3,1.6,,314,7.5,,1023.8,
2022-02-13,11.3,7.5,14.2,0.5,,243,10.8,,1021.2,
2022-02-14,11.9,8.9,15.7,0.1,,336,11.6,,1024.4,
2022-02-15,10.6,6,16,0,,343,8,,1030.6,
2022-02-16,11.9,7.9,17,0,,312,8.8,,1032,
2022-02-17,14.1,11.6,18,0,,336,10.8,,1027.7,
2022-02-18,13,10,18,0.1,,3,13.9,,1021.9,
2022-02-19,11.2,9.2,14.5,0,,350,31.1,,1024.5,
2022-02-20,12.3,7.7,18.6,0,,9,16.3,,1028.9,
2022-02-21,13.8,9.1,20,0,,9,14.4,,1028.5,
2022-02-22,15.2,9.1,24,0,,27,14.2,,1026.4,
2022-02-23,14,10.4,21,0,,16,10.7,,1020.8,
2022-02-24,12.4,9.1,16,10.6,,21,8.5,,1019.2,
2022-02-25,15,10.8,21,0,,30,14.6,,1019.3,
2022-02-26,13.5,10,17.5,0.1,,1,9.7,,1018.9,
2022-02-27,13.5,9.9,19.2,0,,350,12,,1022.1,
2022-02-28,13.6,7.9,21,0,,347,8.9,,1025.5,
2022-03-01,14,10.3,18.1,0,,244,8.6,,1026,
